1box,1sub,2box,2sub,3box,3sub,4box,4sub,prob,prob_t
0000,0000,0000,0000,0000,0000,1e7e,577a,10000,d
0000,0000,0000,0000,0000,0000,4784,2d44,800,9
0000,0000,0000,0000,0000,0000,2d45,4785,1000,a
0000,0000,0000,0000,0000,0000,4787,2d55,4000,b
0000,0000,0000,0000,0000,0000,2d58,5686,8000,c
0000,0000,0000,0000,0000,0000,568a,3c58,10000,d
0000,0000,0000,0000,0000,0000,3c5b,569b,40000,e
0000,0000,0000,0000,0000,0000,569e,3d5a,80000,f
0000,0000,0000,0000,0000,0000,47b4,2d66,2000,a
0000,0000,0000,0000,0000,0000,2d67,47b5,4000,b
0000,0000,0000,0000,0000,0000,47b8,3c66,8000,c
0000,0000,0000,0000,0000,0000,3c6a,56b8,10000,d
0000,0000,0000,0000,0000,0000,56bb,3c7b,40000,e
0000,0000,0000,0000,0000,0000,3c7e,57ba,80000,f
0000,0000,0000,0000,0000,0000,47e4,2f64,4000,b
0000,0000,0000,0000,0000,0000,2f65,47e5,8000,c
0000,0000,0000,0000,0000,0000,47e7,2f75,20000,d
0000,0000,0000,0000,0000,0000,2f78,56e6,40000,e
0000,0000,0000,0000,0000,0000,56ea,3e78,80000,f
0000,0000,0000,0000,0000,0000,3e7b,56fb,200000,10
0000,0000,0000,0000,0000,0000,56fe,3f7a,400000,11
0000,0000,0000,0000,0000,0000,47f4,2f66,18000,c
0000,0000,0000,0000,0000,0000,2f67,47f5,30000,d
0000,0000,0000,0000,0000,0000,47f8,3e66,60000,e
0000,0000,0000,0000,0000,0000,3e6a,56f8,c0000,f
0000,0000,0000,0000,0000,0000,56fb,3e7b,300000,10
0000,0000,0000,0000,0000,0000,3e7e,57fa,600000,11
0000,0000,0000,0000,0000,0000,4844,4b00,100,7
0000,0000,0000,0000,0000,0000,4854,4b02,200,8
0000,0000,0000,0000,0000,0000,4b09,5845,400,9
0000,0000,0000,0000,0000,0000,584b,5a19,800,a
0000,0000,0000,0000,0000,0000,5a1f,595b,1000,b
0000,0000,0000,0000,0000,0000,4874,4b22,800,9
0000,0000,0000,0000,0000,0000,4b29,5865,1000,a
0000,0000,0000,0000,0000,0000,586b,5a39,2000,b
0000,0000,0000,0000,0000,0000,5a3f,597b,4000,c
0000,0000,0000,0000,0000,0000,4884,6900,1000,a
0000,0000,0000,0000,0000,0000,48b4,6922,4000,b
0000,0000,0000,0000,0000,0000,6929,58a5,8000,c
0000,0000,0000,0000,0000,0000,58ab,7839,10000,d
0000,0000,0000,0000,0000,0000,783f,59bb,20000,e
0000,0000,0000,0000,0000,0000,48e4,6b20,8000,c
0000,0000,0000,0000,0000,0000,48f4,6b22,30000,d
0000,0000,0000,0000,0000,0000,6b29,58e5,60000,e
0000,0000,0000,0000,0000,0000,58eb,7a39,c0000,f
0000,0000,0000,0000,0000,0000,7a3f,59fb,180000,10
0000,0000,0000,0000,0000,0000,4b44,4b44,400,8
0000,0000,0000,0000,0000,0000,4b45,4b45,800,9
0000,0000,0000,0000,0000,0000,4b47,4b55,2000,a
0000,0000,0000,0000,0000,0000,4b58,5a46,4000,b
0000,0000,0000,0000,0000,0000,5a4a,5a58,8000,c
0000,0000,0000,0000,0000,0000,5a5b,5a5b,20000,d
0000,0000,0000,0000,0000,0000,5a5e,5b5a,40000,e
