新鲜,37
贾瑞,37
诸事,37
执事,37
厨房,37
饮,36
乃是,36
转身,36
昨夜,36
小事,36
叫作,36
角门,36
怨不得,36
站住,36
珍,36
闷,36
四人,36
样儿,36
心内,36
先前,36
空儿,36
走进,36
听听,36
坠儿,36
惜,36
包勇,36
甄宝玉,36
好事,35
醉,35
一事,35
已有,35
二字,35
名唤,35
这位,35
辞,35
房门,35
梅花,35
顽笑,35
咳嗽,35
悄悄,35
偏生,35
还好,35
为的是,35
菩萨,35
领,35
平儿忙,35
会意,35
没什么,35
精神,35
爷爷,35
念道,35
回至,35
手帕,35
亲家,35
早些,35
一层,35
院内,35
开门,35
配,35
两件,35
有理,35
旺儿,35
赖大,35
喝酒,35
尤三姐,35
未知,35
一并,34
知是,34
人口,34
杯,34
疯,34
针线,34
荣国府,34
端的,34
一带,34
养,34
奇,34
催,34
姐妹,34
名,34
便宜,34
着实,34
作主,34
没人,34
好不好,34
交与,34
不快,34
板儿,34
法儿,34
教,34
后门,34
屋内,34
头儿,34
发,34
明年,34
闲,34
话儿,34
没意思,34
蘅,34
贾妃,34
环儿,34
神仙,33
那年,33
一副,33
想必,33
远,33
要说,33
不忍,33
你好,33
惹,33
海棠,33
烦,33
写道,33
掩,33
笑嘻嘻,33
铺,33
婆婆,33
一分,33
贾芹,33
坏,33
祭,33
行礼,33
越性,33
呈,33
懂,33
理会,33
故事,32
之时,32
日夜,32
登时,32
抄,32
答道,32
一味,32
脱,32
女婿,32
奇怪,32
前来,32
搭,32
庙里,32
没趣,32
辜负,32
救,32
向宝玉,32
纳闷,32
几句话,32
模样儿,32
背后,32
尤氏笑,32
抹,32
问宝玉,32
走开,32
多早晚,32
一同,32
李贵,32
夜里,32
二叔,32
老娘,32
打算,32
办事,32
往日,32
夹,32
二位,31
后悔,31
日后,31
姓,31
无话,31
山石,31
人物,31
一路,31
进城,31
饮食,31
老婆,31
两三个,31
一根,31
现成,31
安歇,31
门子,31
薛蟠道,31
两处,31
报,31
暗暗,31
辛苦,31
快快,31
头发,31
前头,31
点点头,31
世人,30
落,30
四字,30
之声,30
唬得,30
谢,30
大门,30
转过,30
大哥,30
相见,30
安静,30
何等,30
贾家,30
十个,30
百般,30
栊,30
我作,30
宝丫头,30
后头,30
接过,30
张罗,30
不顾,30
孙子,30
荷包,30
留神,30
拦住,30
拉着,30
脾气,30
活,30
明知,30
讲究,30
一枝,30
箱子,30
杀,30
随便,30
没法,30
知县,30
意欲,29
一月,29
心上,29
无不,29
饭后,29
心想,29
打扮,29
一心,29
椅子,29
微微,29
处来,29
薛家,29
脸面,29
人才,29
只求,29
惊动,29
那府,29
点子,29
烫,29
问起,29
劝解,29
理论,29
儿媳妇,29
娘儿们,29
我要,29
痛哭,29
几两,29
粥,29
吹,29
灯,29
旨意,29
贾政又,29
桃花,29
吐,29
回过,29
烦恼,29
顽话,29
信儿,29
蒋玉菡,29
嫁,29
亲事,29
题目,29
细,28
之心,28
之处,28
细看,28
脚,28
